group,size,n_coint,trace_stat,critical_value,eigenvector
"CAH,RCL,CI,DD,UPS",5,1,109.15048566409013,69.8189,"0.0867,-0.0383,-0.0402,0.1988,-0.0398"
"SWKS,EIX,FE,CBOE,KO",5,2,107.8830349134195,69.8189,"0.1453,0.1558,0.0269,-0.0203,0.4531"
"LVS,AME,HSIC,ROST,SO",5,2,100.29604230160798,69.8189,"0.0407,0.0874,-0.3664,-0.0563,-0.4178"
"MPWR,NI,ED,D,BR",5,1,95.2038463199132,69.8189,"0.0028,1.1893,-0.1737,-1.0570,0.0564"
"WST,AMT,AAPL,BMY,ETR",5,3,93.71129907059198,69.8189,"0.0112,0.1363,0.1099,-0.0460,-0.2228"
"TSN,T,PWR,SNA,GIS",5,1,92.04747173301256,69.8189,"0.3255,0.5203,0.0548,0.0146,0.5945"
"ALGN,CSGP,KIM,WAT,KMI",5,4,91.52226317239273,69.8189,"0.0055,-0.2611,0.7887,-0.0439,-0.0927"
"KR,FSLR,COF,AON,CAG",5,1,90.43845424533833,69.8189,"0.5077,0.0618,0.0321,0.0107,0.9366"
"LH,WMB,DECK,DGX,IT",5,3,88.54796172686054,69.8189,"0.0931,-0.1212,-0.0653,-0.2440,0.0074"
"FTV,JPM,NWS,GD,CL",5,1,88.46251414303079,69.8189,"0.2237,-0.0604,0.7048,0.1431,0.0900"
"RVTY,DAY,SJM,KDP,LDOS",5,1,87.78089315670839,69.8189,"0.0081,-0.1808,-0.0860,-0.6035,-0.0551"
"MCK,CTAS,PHM,O,FISV",5,1,87.17087018145324,69.8189,"0.0506,0.0630,0.2018,-0.8851,0.0740"
"QCOM,HWM,LOW,FRT,FANG",5,1,86.9287756684488,69.8189,"0.1888,-0.0511,0.0162,-0.2736,-0.0807"
"F,CHTR,AVB,GEHC,MMC",5,1,86.72507399604277,69.8189,"2.1415,-0.0258,0.2321,-0.1601,0.0857"
"BRO,NSC,SMCI,WFC,FOX",5,1,86.65469565653625,69.8189,"0.0817,0.0582,-0.0251,-0.2925,0.3242"
"ARE,PM,DE,V,MAR",5,1,86.02798336189937,69.8189,"0.0694,0.1391,-0.0327,-0.0640,0.0594"
"MMM,WELL,DDOG,ON,PYPL",5,2,85.29919223332209,69.8189,"0.1565,-0.2299,0.0808,0.0640,-0.3848"
"CMS,TAP,CEG,BG,LULU",5,2,84.81220087352881,69.8189,"0.2316,-0.6579,-0.0409,-0.0474,0.0213"
"BAX,UDR,EG,REG,COP",5,1,83.745234843755,69.8189,"0.5655,-0.8489,-0.0585,-0.1007,0.0467"
"CTRA,EVRG,TDY,TTD,MCD",5,1,83.08673973082678,69.8189,"0.4189,0.2492,0.0054,0.0568,0.1248"
"WMT,APD,ABNB,PPG,AIG",5,3,83.03334606354389,69.8189,"0.0473,0.0832,-0.0179,-0.2477,0.1703"
"ACGL,EBAY,MOH,TSCO,ZTS",5,1,82.4808879815005,69.8189,"0.2799,0.0693,0.0284,0.3470,-0.0793"
"UNH,OXY,ZBH,DPZ,BXP",5,1,82.06943518873261,69.8189,"0.0061,-0.3459,0.0200,0.0301,0.3008"
"DHR,FAST,HOLX,ELV,TECH",5,1,81.10765478061322,69.8189,"0.0920,-0.1135,-0.5234,-0.0076,0.1137"
"TXT,SLB,PSA,EPAM,NXPI",5,2,80.91264687178834,69.8189,"0.2624,0.3479,0.0774,-0.0202,-0.0554"
"FOXA,MSCI,PNW,PLD,CDW",5,1,80.7695151879347,69.8189,"0.1074,0.0625,0.3505,-0.0247,-0.0001"
"INVH,AVY,AFL,EA,PAYC",5,1,80.19317336222353,69.8189,"0.1749,-0.1145,-0.3254,-0.0016,-0.0379"
"CTSH,PEG,MA,CB,PGR",5,1,80.12982370544887,69.8189,"0.0364,-0.4864,-0.0116,-0.0771,-0.0298"
"PFG,XYL,CCI,SRE,PSX",5,3,80.03351375041748,69.8189,"0.1014,-0.1625,0.2103,0.2390,0.0536"
"HOOD,EXPE,FDX,PLTR,VZ",5,1,79.83530238709582,69.8189,"0.0278,-0.0507,0.0929,0.0055,0.7657"
"AMD,EXR,ESS,TJX,VTR",5,1,78.74705549469543,69.8189,"0.0140,-0.1858,0.0052,-0.1049,-0.0762"
