stock1,stock2,hedge_ratio,z_score,half_life,signal
TPL,ULTA,-2.640233500242011,-4.066034097411304,4.3027327189923,BUY
TPL,TKO,-9.133028060661667,-3.484067192617872,6.402075539277915,BUY
D,TPL,-0.0089688706289844,-3.020598706616735,6.913089036897553,BUY
GPN,OMC,2.1439573368349443,-2.9884984575138938,5.671482093337391,BUY
GIS,TPL,0.0183990861057961,2.8946974161768755,6.300525160353159,SELL
FOX,MDT,0.6780526006850154,2.8413553326171783,14.106796328332019,SELL
DVA,DGX,-1.221514399788272,-2.746276518449834,6.106601971995463,BUY
BK,D,3.760638679178964,2.697782514067954,5.8265774058274316,SELL
HAS,TPL,-0.0326202746464565,-2.684270679488789,6.343008213736346,BUY
BBY,FRT,1.232118229966108,-2.661045139232611,6.527804986440212,BUY
TPR,WYNN,0.9377843604068432,2.641711883626269,8.91499269665656,SELL
BALL,HON,0.2145292126128969,2.6308559549308304,6.8345292887165785,SELL
AIZ,SBAC,-0.6196687767199911,2.563092485321195,5.660214631739851,SELL
JCI,TPL,-0.0507499674653565,-2.4874725668809337,7.173125032739159,BUY
CB,PEG,-2.643128566015104,2.4206199427590263,5.001926035885541,SELL
LUV,STE,0.0985890400307726,2.416754985887221,23.09062576552507,SELL
GE,HOOD,1.199883034931701,2.4044814868634856,7.702415735200785,SELL
SCHW,TPL,-0.0287783096470013,-2.3877234310674686,5.760484273939731,BUY
C,GS,0.1317529691340653,2.3850148244877007,4.610540060625034,SELL
RTX,TEL,0.5167865436080519,2.3847563260700926,7.270179165169442,SELL
BK,TPL,-0.0451603877381835,-2.370232794669782,6.400378493739246,BUY
STZ,MPC,-0.8800350486573901,-2.3573435596444887,7.030117745438141,BUY
MNST,WY,-2.640882741343559,2.340939404152595,7.16157681063465,SELL
FOX,LVS,0.4401846522080276,2.3402727777531336,8.344651908041175,SELL
NI,TPL,-0.0059124065615237,-2.331914263729169,6.848134340989771,BUY
AME,QCOM,0.7698417359786933,2.330145014429552,6.727622600998008,SELL
EXPE,INCY,2.385191673477342,2.3230240690440755,7.942003810814364,SELL
CDW,PPG,2.04547529913544,-2.302640382215919,5.968386577259273,BUY
FCX,HAS,0.3418105867655764,2.295596038415366,8.196827697663272,SELL
O,TPL,-0.0037250068028835,-2.2953344595087706,7.083308213053731,BUY
D,TPR,0.1303186767100053,-2.2880921956500213,4.533992730498502,BUY
AMP,CDW,1.5185671790184516,2.286801653400022,6.45630683625218,SELL
RTX,TPL,-0.0738642720721491,-2.285012501905464,5.639491826873217,BUY
EW,EG,-0.2419512668684586,2.280370553202538,4.978868239355631,SELL
AIG,WST,-0.0611135302310535,2.2756103634857068,6.028994680851927,SELL
FDS,XEL,-13.674499575866855,-2.272390510774251,6.682771319495862,BUY
HII,UDR,-13.968570376975352,2.267723364447429,6.591643188456901,SELL
AIZ,CTAS,-0.6352984625385448,2.264195057668309,7.294209370811108,SELL
CSCO,EG,-0.291747669438947,2.250394935183839,7.17687924076052,SELL
BSX,SPGI,0.115253427879941,-2.249961606596891,6.55784644464123,BUY
CLX,TPL,0.0624901316216969,2.248127625243907,7.738074997422475,SELL
LRCX,NEE,5.049313405928181,2.2216907106088915,7.358859156873307,SELL
AWK,BBY,-0.6996463823989002,-2.216841280773054,8.139952708835333,BUY
ABNB,EXR,0.6167119936504419,2.216748919012886,8.405049106315383,SELL
DGX,TTWO,0.3576065134071715,-2.2152573249354632,4.625681805796144,BUY
MMM,FOX,1.6565265728137537,-2.2130169082450184,7.169678928762071,BUY
SCHW,ELV,-0.1508345318442305,2.2128844929800437,7.574889903266111,SELL
CRL,PSX,1.4471605526367242,2.211789223422922,10.315442266123684,SELL
BSX,MCO,0.092133642854592,-2.2096858501080225,9.533950571102343,BUY
AIZ,RSG,-0.627255993431564,2.2054353981785106,7.119955228257441,SELL
CPB,TPL,0.0134904028995288,2.2020427028768474,6.171983369378459,SELL
PSA,WELL,-0.4101722590190489,-2.197216790429222,6.64762659198766,BUY
HII,TPL,-0.1795799097514148,-2.1843052370264773,5.787089789083561,BUY
NEM,UDR,-5.484194056677166,2.181709815505607,7.508444859924602,SELL
MPC,TAP,-3.343382683453059,-2.1772429558365727,5.78521905351576,BUY
EXPE,INVH,-13.281566194223554,2.170669273953137,6.777918782961375,SELL
MMM,FOXA,1.284721217207598,-2.160175809087595,7.096113461651399,BUY
BIIB,MDT,2.396320581853136,2.1520937678290366,10.648338504071173,SELL
ABNB,DXCM,0.6439768743981849,2.151196290714392,6.733658734344653,SELL
ED,VTRS,-3.377249930003257,2.1480530290608666,7.092645517453962,SELL
PG,PWR,-0.1171956195556498,-2.1457089208149904,4.975316894825623,BUY
XOM,PFE,1.4386685557891,2.1423047369842836,10.009577366355897,SELL
CB,KIM,-8.920328377434368,2.138322754434438,4.541463639344057,SELL
CMS,PYPL,-0.2026453060304632,-2.136647143517572,6.48070986380563,BUY
ABNB,SYK,0.3295333151552732,2.134613208595098,9.835427498093859,SELL
KIM,NCLH,0.1872677878159388,-2.13304040641882,4.506079512456475,BUY
XOM,PHM,0.1886323685319199,2.1324385999574114,9.398728702497621,SELL
AME,HST,7.321204674446957,2.1316968159716874,6.39773864451825,SELL
FCX,TXT,0.5802266160244091,2.1254997480414652,6.319376590184726,SELL
XOM,GWW,-0.0330173058898279,2.1239206583246655,7.722429273045898,SELL
LLY,LIN,-3.253432057319948,2.123758565068844,8.95623513002131,SELL
JPM,TPL,-0.0976750302621478,-2.121789720620118,6.950970839877419,BUY
AIZ,INVH,-3.9363269705417294,2.12063370254601,7.117974100749187,SELL
XOM,XEL,0.4851992033159443,2.1181612568393318,8.984243330188832,SELL
CB,ZBRA,-0.1772781271499862,2.116555787858123,7.1184759820065295,SELL
DLTR,TPL,-0.0631521002381065,-2.11467900311616,7.302590853648089,BUY
XOM,PEP,0.2172391441120362,2.110573691739706,10.153219523961996,SELL
STLD,UHS,0.6642300758344306,2.1095508743212226,6.517600837777131,SELL
ACGL,JBL,-0.0244983407537565,2.1084143530902155,5.021377713967236,SELL
ACGL,ORLY,0.0015887497647619,2.1065605477307585,4.939689062437704,SELL
XOM,XYL,0.2058176064888037,2.105297982025635,9.947426301025772,SELL
ROL,TRGP,-0.1436784027336309,2.104872350154598,8.562576320796158,SELL
OMC,ROL,-0.8357283116667725,2.102294587434881,5.709364797158735,SELL
LUV,WMT,0.2410263592573209,2.1014058307462955,18.097606406105463,SELL
XOM,WM,-0.2297986242045512,2.1007739400278385,6.459463778779408,SELL
HRL,XEL,-0.5450160372268966,-2.0966985378229532,5.187671094342919,BUY
TPR,TPL,-0.0696149889685266,-2.092581370754579,6.089159089413356,BUY
