stock1,stock2,action1,shares1,price1,action2,shares2,price2,signal,z_score,capital_allocation,kelly_fraction,order1_id,order2_id
STZ,MU,sell,2,66.97,buy,3,153.5,SELL,2.70192016996812,594.44,0.0059452489815545,97c67ace-1da4-48ac-bffb-d8df1568b9a7,9e962e4a-8f2d-4c16-a402-8be8af72f3e0
AME,QCOM,sell,2,104.54,buy,3,82.365,SELL,2.6659062240171862,456.175,0.0045624015109357,514c47de-5f5a-4ff8-8339-e209e5d83784,440ecf2f-3fee-4473-81c6-0ccdb60260bb
KIM,NCLH,buy,9,9.565,sell,20,22.75,BUY,-2.661506553655145,541.085,0.0054116227797329,7143cde4-0abc-474b-8047-3d004fe73b79,ea7b6cec-e6c1-409c-9ddf-1c452c793035
HII,UDR,sell,3,174.74,buy,2,17.335,SELL,2.660353464992695,558.89,0.0055896982089042,f019695e-1eb6-4ee9-96cd-56b82dffc56f,bce538c7-d76e-4ba4-8870-65b64a72aace
DVA,DGX,buy,2,114.46,sell,1,173.72500000000002,BUY,-2.639922286785701,402.645,0.0040270250591784,4e6b6a59-b5bf-48ce-bf17-fa446e462c8a,b512642c-908d-4580-8c20-feff1a3cc71d
AME,CI,sell,1,104.54,buy,1,277.455,SELL,2.5845805380447087,381.995,0.0038204955667669,1d713d5a-1c92-4235-b70c-3a1541d1d9aa,e5409261-eff5-4865-a4fd-e442b4dfb405
XOM,MDT,sell,1,122.57999999999998,buy,2,96.335,SELL,2.494583312239024,315.25,0.0031529502412944,1c6ba4ac-d4b8-49ae-b002-9dd82c17e66e,670fe362-532c-4512-9462-a254d5e84e55
TPR,WYNN,sell,4,60.8,buy,4,61.255,SELL,2.492911553625904,488.22,0.0048828972777312,47b8de25-0180-490b-a791-c38ff4dcf2f6,b6ad2879-d80b-437c-9cc6-fe6c70b7cca1
LUV,STE,sell,1,41.525,buy,3,125.045,SELL,2.4812085677106004,416.66,0.0041671950754567,983fa0b0-8143-4308-a740-568c6170dcde,fb1e3ea0-cccc-4e72-a8a5-2d68ba4b52d5
BK,D,sell,4,116.5,buy,2,58.815,SELL,2.42061452072589,583.63,0.0058371335426698,7fef1d0d-c948-4040-8869-e5a788c4016e,d60b1e41-ce89-4978-a470-05b9df2e5cde
XOM,TAP,sell,1,122.57999999999998,buy,6,47.665,SELL,2.345441193828536,408.57,0.0040862835212868,18b6df5d-9826-4ed6-8f33-a6817c9ddd54,ed2d638c-49db-4378-96d0-b3cdd07f26af
XOM,SW,sell,1,122.57999999999998,buy,10,39.64,SELL,2.311267409230977,518.98,0.0051905412092846,c290726a-4d9a-4c23-9bb1-c6a1eed95770,489aa1c9-ac0a-48f1-894a-d2fd2015649e
NEM,UDR,sell,5,100.42,buy,5,17.335,SELL,2.308530420256655,588.7750000000001,0.0058885908907792,86e5f4ee-8629-4af6-9c6b-3810ecc0f231,6a7396b2-9f13-4d85-a124-bab9eed31ad6
ANET,J,sell,2,134.065,buy,2,67.625,SELL,2.30535338808874,403.38,0.0040343761089083,b3801554-d127-477d-b9e7-504859a0aa50,a93e053d-843c-41e9-b46b-fe338e52336c
XOM,QCOM,sell,1,122.57999999999998,buy,5,82.365,SELL,2.3049642627230487,534.405,0.0053448132393305,d2350b87-2d3f-4430-9fcf-7fae563ce2c3,357940ae-852a-4589-98e7-ae0257cc531e
XOM,VZ,sell,2,122.57999999999998,buy,8,40.75,SELL,2.2709988287525227,571.16,0.0057124157329666,329b2f51-3d36-4327-b640-c4a853690857,4842affc-fad1-4e2b-909e-1b079631bfe3
XOM,KVUE,sell,2,122.57999999999998,buy,14,17.299999999999997,SELL,2.270848146196572,487.3599999999999,0.0048742960494758,1560c5b1-9419-439d-afe1-5d24827f5ab4,c700b061-72c8-41a9-9c87-66525b802230
XOM,UDR,sell,2,122.57999999999998,buy,20,17.335,SELL,2.2697205849855018,591.86,0.0059194452967883,912ff3fb-f228-4015-97f8-2444777d099b,e2b574cc-d1d5-493d-8dec-ed57f7c2a6af
XOM,OTIS,sell,1,122.57999999999998,buy,10,44.155,SELL,2.2600390825522245,564.13,0.0056421056926929,20887afc-1aa5-4686-87fb-4ce6c6392ab2,a0a1d59f-4b0d-46c0-8237-674de2ac272c
REG,SLB,buy,1,67.96000000000001,sell,13,40.095,BUY,-2.2375325146784464,589.195,0.0058927914906248,3142c18b-4964-4651-b18c-eafa3ab37ce6,6cbff861-cb54-4067-b624-c25cabea3a4f
XOM,NEE,sell,1,122.57999999999998,buy,6,38.0,SELL,2.2359770313283693,350.58,0.0035063006997399,d1159ce5-d2b5-441b-9811-c3eac6f6afbf,a070e60a-3350-4e81-8310-57843d9972be
MNST,WY,sell,5,76.355,buy,6,23.845,SELL,2.233975714737479,524.845,0.0052491995857008,2ad2c452-9db0-4598-8afe-8f6677644fc7,bf7e795f-12f3-434e-926f-57566080bd39
ED,VTRS,sell,4,99.99,buy,9,12.435,SELL,2.23360707744642,511.87500000000006,0.0051194810618956,feb19e4e-ea38-4216-ba36-4d6803c9f49b,d5bfe75c-aecb-4092-8428-2afff3822e46
XOM,MOS,sell,1,122.57999999999998,buy,16,25.155,SELL,2.2320923190649853,525.06,0.0052513498927646,972bf934-4a13-4203-96cb-eaa9b0340b98,711d630f-a3b6-451f-8278-908f498cc0b0
XOM,KDP,sell,2,122.57999999999998,buy,9,27.835,SELL,2.20893430165586,495.675,0.0049574579249916,5df9c20a-5e4e-4848-a84f-e033b51b05f6,27b4cd6e-db39-473e-9884-1f9738e9bc4a
STZ,LRCX,sell,3,66.97,buy,4,88.02,SELL,2.2058355017156046,552.99,0.0055306897825009,e4df68b2-9685-409b-b968-93818f2af872,be00718c-c3bc-4d2a-9db2-dbffae4aeb7e
XOM,GILD,sell,1,122.57999999999998,buy,7,57.78,SELL,2.1932044107801136,527.04,0.0052711527206085,dea8ddec-a303-4f08-9c66-c5c5a19518b6,86f736bc-d4e4-49fc-b3de-033028c8eb7f
XOM,SRE,sell,1,122.57999999999998,buy,4,89.315,SELL,2.193095506374514,479.84,0.0047990853093821,2bb7031a-cd29-469f-8488-f29cef09cc11,8f7eefea-bc8e-4408-9ca2-8c4187d322fa
MNST,ROL,sell,5,76.355,buy,3,60.755,SELL,2.190473048654758,564.04,0.0056412055641545,6e4469fa-9982-4bf5-a32f-8ade3a987135,5b32b491-2fb0-47cb-bc55-9fd6bb59645c
PSA,TRV,buy,1,129.215,sell,1,285.265,BUY,-2.1665193720824605,414.48,0.0041453919619721,e4292938-f163-4484-8159-da9c26810f2c,7e92d1c5-dbc9-46cf-b093-7d5384097f53
REG,TSN,buy,1,67.96000000000001,sell,13,27.72,BUY,-2.157930027201648,428.3200000000001,0.0042838117283148,b7455275-a8a7-4abf-a423-7475aa8f40a0,e8f0a46d-cef3-406a-a86b-3c2bddefcbb3
MMM,FOX,buy,2,160.20499999999998,sell,6,32.97,BUY,-2.109483846656373,518.23,0.0051830401381317,8cadf30d-9ba6-42c1-8a1b-8b64aa9fb571,dd714a8c-cd7c-4926-9da2-71aa7280e55e
XOM,IP,sell,1,122.57999999999998,buy,20,19.125,SELL,2.106384881846365,505.08,0.0050515213572498,304d7f7f-20fd-483c-9846-7e84461e0506,a8545cea-27df-4c7a-bf95-1982a3a95a9f
DVN,PFE,sell,16,18.915,buy,10,25.165,SELL,2.088330792057104,554.29,0.005543691639166,bc4aae2b-b5e4-40b5-b079-a85b77647d82,5e4cebb9-5e46-435d-87e4-96a1fd90316a
AME,LVS,sell,2,104.54,buy,7,30.915,SELL,2.084471950728978,425.485,0.0042554576793566,c4300cb8-5807-4ada-af06-54e0e0b17dcd,ec3ababa-69a1-4e71-8a5e-a1daf13496ca
CDW,TTD,buy,1,133.135,sell,6,37.46,BUY,-2.04401322400412,357.895,0.0035794611470517,6051e1e8-2265-4cd8-8e4a-0cf0850bbe58,d1b283d2-7c22-4b88-b00f-7a8fcba41255
AME,INVH,sell,3,104.54,buy,7,13.18,SELL,2.043667752209022,405.88,0.0040593796794182,d78b7fae-df47-40d4-be41-53ce582cc560,27b54d25-8d94-4dee-bdf9-47bb86269e23
XOM,HRL,sell,1,122.57999999999998,buy,5,23.43,SELL,2.0184795010446868,239.73,0.0023976423833323,de3a13c8-3c10-4c5d-b8de-dd1b16feedf9,32a7e0b9-3386-43cd-b119-bacb110834d4
XOM,KHC,sell,1,122.57999999999998,buy,10,11.495,SELL,2.0111144756845816,237.53,0.0023756392412836,a2660c0b-f38a-4e47-9ff2-d046a6aa5622,73c344f8-8038-46b0-b08c-7bbe93d8cf3d
XOM,HOLX,sell,1,122.57999999999998,buy,3,74.64500000000001,SELL,2.008370101845473,346.515,0.0034656448940908,757b5fd2-df72-487e-987e-f64c87edb1f5,a7916047-e8a8-4ab6-9ccf-2e66ab04d17c
XOM,INVH,sell,1,122.57999999999998,buy,8,13.18,SELL,2.001774915843133,228.02,0.0022805256590641,982dcae6-1df4-4312-a8a8-d6ec81ce93a0,be84c877-3683-4fba-b48b-b2eeab86cf13
