phase,symbol,action,side,qty,status,order_id,pair,edge
Open/Add,F,OPEN,sell,30,success,8b3b8e70-a6b5-48ce-96cc-e5874e2e7a07,F/MMC,1.6127643489208627
Open/Add,MMC,OPEN,buy,36,success,ea8fa7f1-9ef8-4c8d-abfb-f5482ed1ecf0,F/MMC,1.6127643489208627
Open/Add,BAC,OPEN,buy,4,success,67a40299-56d9-4ca0-9c31-c0e0532e4beb,BAC/MS,0.8646148675402683
Open/Add,MS,OPEN,sell,11,success,cd259b31-274f-470d-8789-4197f61f9d4e,BAC/MS,0.8646148675402683
Open/Add,AES,OPEN,sell,30,success,25c57a7f-8dc7-4be7-bbe8-02f7acd9bba2,AES/LNT,0.8585776410369078
Open/Add,LNT,OPEN,buy,35,success,7f10a4ce-05a6-4ad4-8974-46fcca746f97,AES/LNT,0.8585776410369078
Open/Add,PFE,OPEN,buy,9,success,93853d57-b505-479f-8d08-91492e154653,PFE/SLB,0.6713740765276601
Open/Add,SLB,OPEN,sell,22,success,bf6c23f5-8e1d-493e-8752-0b5a32907d30,PFE/SLB,0.6713740765276601
Open/Add,CTRA,OPEN,buy,6,success,ce71fb88-621b-48bd-b7b7-4f07553ea1c6,CTRA/UPS,0.648223780266346
Open/Add,UPS,OPEN,sell,12,success,7a8053c9-550e-4b04-b39f-d83a691b5db8,CTRA/UPS,0.648223780266346
Open/Add,NI,OPEN,buy,2,success,f2bbc14e-805d-43e7-80d5-e14f903d4ce0,NI/RTX,0.5946214778083954
Open/Add,RTX,OPEN,sell,6,success,b9b865b8-c3b4-4347-b923-1bb5617cd3e8,NI/RTX,0.5946214778083954
Open/Add,O,OPEN,sell,5,success,a9ba633a-57bd-4ceb-824e-0fcdb8ba4ef4,O/SO,0.5791737914013657
Open/Add,SO,OPEN,buy,10,success,f89a4a24-639d-4a81-92f1-8e56a3f071a5,O/SO,0.5791737914013657
Open/Add,GEN,OPEN,buy,3,success,db00fa99-72e4-4fce-9d96-c2c7087ea8cf,GEN/TXN,0.562730010600887
Open/Add,TXN,OPEN,sell,5,success,be90eae1-1b0e-4c99-a37a-a007d8294636,GEN/TXN,0.562730010600887
Open/Add,T,OPEN,buy,9,success,1b74b32f-1d43-4c95-a681-5e113461792d,T/MOS,0.4304511449569589
Open/Add,MOS,OPEN,sell,34,success,4c256f93-fa8e-429b-87ac-d9b162a0ab08,T/MOS,0.4304511449569589
Open/Add,HST,OPEN,sell,11,success,5b9b39b5-89d5-437f-abed-7d8396b115b3,HST/QCOM,0.4006853011657172
