pair1,pair2,correlation
GOOG/MU,GOOGL/MU,0.9995522732663551
XOM/GWW,XOM/XEL,0.9398138096821003
XOM/WM,XOM/XEL,0.8758727793529869
XOM/PHM,XOM/GWW,0.8604012864961158
XOM/GWW,XOM/WM,0.8526125765025736
XOM/VLO,XOM/XEL,0.8409007240369238
XOM/VLO,XOM/WM,0.8291979330540712
XOM/PHM,XOM/XEL,0.8005965259147528
XOM/GWW,XOM/VLO,0.7978058338061219
TPL/ULTA,TPL/TKO,0.794669874076842
XOM/PHM,XOM/VLO,0.7797760975741762
FIX/MAA,FSLR/MAA,0.7661038546310021
XOM/PHM,XOM/WM,0.7440138502042694
TPL/ULTA,LHX/TPL,0.7438733180400232
MU/WBD,GOOG/MU,-0.6531643948431621
MU/WBD,GOOGL/MU,-0.6444353761570445
TPL/TKO,LHX/TPL,0.6194522920325352
DDOG/PGR,CRWD/ERIE,0.6082189729426108
FIX/MAA,HII/UDR,0.6035666457514354
FSLR/MAA,XOM/GWW,0.5540996562827964
HII/UDR,XOM/WM,0.5374924271693758
GOOG/MU,CRWD/ERIE,-0.5364963971147821
GOOGL/MU,CRWD/ERIE,-0.5287542800532431
FSLR/MAA,AME/CI,0.528405752489594
LHX/TPL,DDOG/PGR,0.5167976817916127
KIM/NCLH,DVA/DGX,0.5103063609813061
FIX/MAA,AME/CI,0.506931468578877
AME/CI,XOM/GWW,0.505510513395171
