stock1,stock2,signal,z_score,edge,p_target,p_stop,hedge_ratio,weight,kelly_weight,capital_allocation,risk_dollars,risk_pct,shares1,shares2,price1,price2,hedge_error,win_loss_ratio,expected_profit,expected_loss,theta,volatility
F,MMC,SHORT_SPREAD,2.467809834627019,1.6127643489208627,0.8579818057175375,0.1420181942824625,-0.0661658879902299,0.1604937529004391,0.1604937529004391,3366.78,726.0556222093386,21.565282620466398,30,36,6.8,87.855,2.517414756034487,3.6975689568556684,1.0923743410344502,0.2954304176015642,0.1717037271139086,0.3060489405235175
BAC,MS,LONG_SPREAD,-2.158787030789933,0.8646148675402683,0.6823311347001341,0.3176688652998659,0.2424458150131813,0.0619013143987788,0.0619013143987788,1190.005,463.7083812100388,38.96692713140186,4,11,55.845,87.875,4.682735191280541,1.9718990214185608,1.5614093012758454,0.7918302531295878,0.1173346888898279,0.4318973632173818
AES,LNT,SHORT_SPREAD,1.5547254916812887,0.8585776410369078,0.9215408597422476,0.0784591402577523,0.4488621072473192,0.0672419177069923,0.0672419177069923,1396.65,1298.3273592950902,92.96010878137616,30,35,14.565000000000001,27.42,1.433942281968255,0.7297751988362761,0.8945027438726278,1.2257236821681963,0.1328993162529529,0.4029293768431702
PFE,SLB,LONG_SPREAD,-1.4387754586695518,0.6713740765276601,0.8930394471432433,0.1069605528567566,0.2360879932510915,0.057258797165754,0.057258797165754,1212.145,1212.145,100.0,9,22,25.465,44.68,1.2410545225835559,0.6013071366848639,0.8723610578155659,1.4507744954185657,0.0883252198714757,0.3809951517603918
CTRA,UPS,LONG_SPREAD,-1.665066561186035,0.648223780266346,0.7932628876321245,0.2067371123678755,0.1151825024840045,0.0436493179185058,0.0436493179185058,946.3454952675646,758.7133606261208,80.17297746121847,6,12,25.05,107.92,0.760261975465376,0.872752548787114,1.210515590364471,1.3870089431955883,0.1255577442579902,0.5129757692455688
NI,RTX,LONG_SPREAD,-1.5283965691100367,0.5946214778083954,0.8264899634793434,0.1735100365206565,0.0778767851211992,0.0386747014802916,0.0386747014802916,791.7706239412562,762.3495041920321,96.2841359783251,2,6,42.085,187.515,3.935694420459356,0.6988272434837327,1.1067264116463695,1.5836909936842378,0.1066239950569591,0.4786455390013508
O,SO,SHORT_SPREAD,1.841050802648959,0.5791737914013657,0.6952491955009628,0.3047508044990372,0.3259789608286926,0.0565951398142254,0.0565951398142254,1167.225,734.7730301258853,62.95041916733152,5,10,58.185,87.63,1.8447532591621467,1.1571264777732617,1.5526462215746866,1.3418120243541145,0.1010429578472309,0.5071231782949601
GEN,TXN,LONG_SPREAD,-1.4328744650603935,0.562730010600887,0.8519422182161973,0.1480577817838027,0.0824007049066261,0.030358293326276,0.030358293326276,668.6011393616709,668.6011393616709,100.0,3,5,25.490000000000002,188.935,1.7624006557270255,0.5952774326380589,0.9969313156637932,1.6747339324552362,0.0949318431187561,0.4495665465344038
T,MOS,LONG_SPREAD,-1.2509687338928317,0.4304511449569589,0.8717929644256509,0.1282070355743491,0.2436653160180693,0.0327907935939749,0.0327907935939749,720.1795682363319,720.1795682363319,100.0,9,34,24.18,25.95,1.2252392251231286,0.42936266975047754,1.0149513055048254,2.363855493293491,0.061536329523377,0.3911592012424636
HST,QCOM,SHORT_SPREAD,0.9182211434556766,0.4006853011657172,0.9929856630840164,0.0070143369159837,0.0894014811507523,0.0005881554042614,0.0005881554042614,764.3788934179755,764.3788934179755,100.0,11,6,8.785,178.46499999999997,0.9451436277740519,0.20089604721507665,0.30105110908180593,1.4985417247135013,0.1066119884671325,0.316298864774319
