stock1,stock2,z_score,theta,volatility,edge,p_target,p_stop,signal,gain,loss,hedge_ratio,pvalue,weight,capital
F,MMC,2.467809834627019,0.1717037271139086,0.3060489405235175,1.6127643489208627,0.8579818057175375,0.1420181942824625,SHORT_SPREAD,1.967809834627019,0.532190165372981,-0.0661658879902299,0.0358169634264154,0.16049375290043918,16049.375290043918
BAC,MS,-2.158787030789933,0.1173346888898279,0.4318973632173818,0.8646148675402683,0.6823311347001341,0.3176688652998659,LONG_SPREAD,1.658787030789933,0.8412129692100669,0.2424458150131813,0.0075096127925339,0.061901314398778835,6190.131439877883
AES,LNT,1.5547254916812887,0.1328993162529529,0.4029293768431702,0.8585776410369078,0.9215408597422476,0.0784591402577523,SHORT_SPREAD,1.0547254916812887,1.4452745083187113,0.4488621072473192,0.0040619200452478,0.06724191770699231,6724.191770699231
PFE,SLB,-1.4387754586695518,0.0883252198714757,0.3809951517603918,0.6713740765276601,0.8930394471432433,0.1069605528567566,LONG_SPREAD,0.9387754586695518,1.5612245413304482,0.2360879932510915,0.024785597664515,0.057258797165754084,5725.879716575409
CTRA,UPS,-1.665066561186035,0.1255577442579902,0.5129757692455688,0.648223780266346,0.7932628876321245,0.2067371123678755,LONG_SPREAD,1.165066561186035,1.334933438813965,0.1151825024840045,0.0010012808076268,0.04364931791850582,4364.931791850582
NI,RTX,-1.5283965691100367,0.1066239950569591,0.4786455390013508,0.5946214778083954,0.8264899634793434,0.1735100365206565,LONG_SPREAD,1.0283965691100367,1.4716034308899633,0.0778767851211992,0.0154299815340077,0.03867470148029163,3867.4701480291633
O,SO,1.841050802648959,0.1010429578472309,0.5071231782949601,0.5791737914013657,0.6952491955009628,0.3047508044990372,SHORT_SPREAD,1.341050802648959,1.158949197351041,0.3259789608286926,0.0240600068382906,0.0565951398142254,5659.5139814225395
GEN,TXN,-1.4328744650603935,0.0949318431187561,0.4495665465344038,0.562730010600887,0.8519422182161973,0.1480577817838027,LONG_SPREAD,0.9328744650603936,1.5671255349396065,0.0824007049066261,0.0083010814695766,0.030358293326276035,3035.8293326276034
T,MOS,-1.2509687338928317,0.061536329523377,0.3911592012424636,0.4304511449569589,0.8717929644256509,0.1282070355743491,LONG_SPREAD,0.7509687338928317,1.7490312661071683,0.2436653160180693,0.0499126501542551,0.032790793593974986,3279.0793593974986
CSX,JPM,-1.4078915797958602,0.0648106585439809,0.4405506464830146,0.424331751352109,0.8065760686224995,0.1934239313775004,LONG_SPREAD,0.9078915797958602,1.5921084202041398,0.0820484997778891,0.0313053153196697,0.01890250530206773,1890.2505302067727
HST,QCOM,0.9182211434556766,0.1066119884671325,0.316298864774319,0.4006853011657172,0.9929856630840164,0.0070143369159837,SHORT_SPREAD,0.4182211434556766,2.081778856544324,0.0894014811507523,0.0129711129684758,0.0005881554042614867,58.81554042614867
INVH,PGR,-0.9036294104172236,0.1075733765520686,0.4625148545316684,0.2934206068056776,0.9559164785553816,0.0440835214446183,LONG_SPREAD,0.4036294104172235,2.0963705895827767,0.100471216720927,0.0136314549875939,0.017875553083062615,1787.5553083062614
HAL,SNA,1.7874361450541514,0.1389574758267164,0.8952997435051239,0.2676210710226337,0.592073970387393,0.407926029612607,SHORT_SPREAD,1.2874361450541514,1.2125638549458486,0.1824445723680731,0.0029191211933285,0.007639559353963969,763.9559353963969
CCL,TRMB,1.881877124065734,0.0634068998500452,0.6144353278081408,0.2595532505438354,0.5510704505912406,0.4489295494087594,SHORT_SPREAD,1.381877124065734,1.118122875934266,0.5566439094608563,0.0328046089806345,0.010714360580929118,1071.4360580929117
EQR,MKC,-1.516049131561734,0.0869537733310771,0.7726811504495297,0.2123707658779791,0.6785286537264981,0.3214713462735019,LONG_SPREAD,1.016049131561734,1.483950868438266,0.6553554038787258,0.017744357853536,0.013089618745337846,1308.9618745337846
ROL,TRV,1.0663034950696406,0.097377916898821,0.6842510974808484,0.2032307328489972,0.8547708951117426,0.1452291048882573,SHORT_SPREAD,0.5663034950696406,1.9336965049303596,0.2028089609588916,0.0231784584074675,0.00027193294759668044,27.193294759668046
