stock1,stock2,signal,z_score,hedge_ratio,stock1_feasible,stock2_feasible,pair_feasible,stock1_reason,stock2_reason,stock1_strike,stock2_strike,stock1_expiration,stock2_expiration,estimated
TPL,ULTA,BUY,-3.433762827257409,-2.6791359202623286,False,False,False,No price data available,No price data available,,,,,True
TPL,TKO,BUY,-3.416905207460863,-9.396465317876864,False,False,False,No price data available,No price data available,,,,,True
GPN,OMC,BUY,-3.3984871119149496,2.1055299937520333,False,False,False,No price data available,No price data available,,,,,True
FOX,MDT,SELL,3.0897581941224126,0.6882389851719707,False,False,False,No price data available,Error checking options: 'str' object has no attribute 'strike_price',,,,,True
LHX,HOOD,SELL,2.986623151728761,0.902829674111611,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',Error checking options: 'str' object has no attribute 'strike_price',,,,,False
MU,WBD,SELL,2.905435537450271,9.44481754695412,False,False,False,No price data available,Error checking options: 'str' object has no attribute 'strike_price',,,,,True
FIX,MAA,SELL,2.7829993712173136,-18.351809077869863,False,False,False,No price data available,No price data available,,,,,True
FSLR,MAA,SELL,2.724938464698518,-3.6245745666472367,False,False,False,No price data available,No price data available,,,,,True
STZ,MU,SELL,2.70192016996812,-0.2945938332084267,False,False,False,No price data available,No price data available,,,,,True
AME,QCOM,SELL,2.6659062240171862,0.7762072622332963,False,False,False,No price data available,No price data available,,,,,True
KIM,NCLH,BUY,-2.661506553655145,0.1838803009842953,False,False,False,No price data available,Error checking options: 'str' object has no attribute 'strike_price',,,,,True
HII,UDR,SELL,2.660353464992695,-14.000838629621736,False,False,False,No price data available,No price data available,,,,,True
LHX,TPL,BUY,-2.6495105069457368,-0.1243612349133583,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',No price data available,,,,,True
DVA,DGX,BUY,-2.639922286785701,-1.258738062788733,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',Error checking options: 'str' object has no attribute 'strike_price',,,,,False
GOOG,MU,BUY,-2.638189044072959,0.8144544728787625,False,False,False,No price data available,No price data available,,,,,True
DDOG,PGR,BUY,-2.6297710798901397,-0.8501948231326456,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',Error checking options: 'str' object has no attribute 'strike_price',,,,,False
GOOGL,MU,BUY,-2.616166626241568,0.8206120288493236,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',No price data available,,,,,True
AME,CI,SELL,2.5845805380447087,-0.3921199880981311,False,False,False,No price data available,Error checking options: 'str' object has no attribute 'strike_price',,,,,True
XOM,PHM,SELL,2.5774491780831976,0.1893065042615388,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',No price data available,,,,,True
XOM,GWW,SELL,2.57418381473942,-0.0328587559243495,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',No price data available,,,,,True
XOM,VLO,SELL,2.568854627195306,0.1830119038119211,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',Error checking options: 'str' object has no attribute 'strike_price',,,,,False
XOM,WM,SELL,2.5639819065064566,-0.2489299995773546,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',No price data available,,,,,True
XOM,XEL,SELL,2.5542491593068037,0.4876589429694025,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',Error checking options: 'str' object has no attribute 'strike_price',,,,,False
CRWD,ERIE,BUY,-2.543302390884564,-1.0961369358747357,False,False,False,No price data available,No price data available,,,,,True
RTX,TEL,SELL,2.518933839578512,0.5162922255881031,False,False,False,No price data available,Error checking options: 'str' object has no attribute 'strike_price',,,,,True
LHX,PLTR,SELL,2.5062766817703674,0.8059807365917392,False,False,False,Error checking options: 'str' object has no attribute 'strike_price',Error checking options: 'str' object has no attribute 'strike_price',,,,,False
