symbol,current_price,feasible,reason,estimated,call_bid,call_ask,put_bid,put_ask,strike,expiration,dte,call_oi,put_oi,call_volume,put_volume
AME,,False,No price data available,True,,,,,,,,,,,
CI,277.455,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
CRWD,,False,No price data available,True,,,,,,,,,,,
DDOG,133.215,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
DGX,173.72500000000002,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
DVA,114.46000000000001,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
ERIE,,False,No price data available,True,,,,,,,,,,,
FIX,,False,No price data available,True,,,,,,,,,,,
FOX,,False,No price data available,True,,,,,,,,,,,
FSLR,,False,No price data available,True,,,,,,,,,,,
GOOG,,False,No price data available,True,,,,,,,,,,,
GOOGL,313.73,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
GPN,,False,No price data available,True,,,,,,,,,,,
GWW,,False,No price data available,True,,,,,,,,,,,
HII,,False,No price data available,True,,,,,,,,,,,
HOOD,115.36,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
KIM,,False,No price data available,True,,,,,,,,,,,
LHX,304.35,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
MAA,,False,No price data available,True,,,,,,,,,,,
MDT,96.33500000000001,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
MU,,False,No price data available,True,,,,,,,,,,,
NCLH,22.75,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
OMC,,False,No price data available,True,,,,,,,,,,,
PGR,219.39999999999998,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
PHM,,False,No price data available,True,,,,,,,,,,,
PLTR,167.5,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
QCOM,,False,No price data available,True,,,,,,,,,,,
RTX,,False,No price data available,True,,,,,,,,,,,
STZ,,False,No price data available,True,,,,,,,,,,,
TEL,233.255,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
TKO,,False,No price data available,True,,,,,,,,,,,
TPL,,False,No price data available,True,,,,,,,,,,,
UDR,,False,No price data available,True,,,,,,,,,,,
ULTA,,False,No price data available,True,,,,,,,,,,,
VLO,165.01999999999998,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
WBD,28.825000000000003,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
WM,,False,No price data available,True,,,,,,,,,,,
XEL,74.65,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
XOM,122.57999999999998,False,Error checking options: 'str' object has no attribute 'strike_price',False,,,,,,,,,,,
