,LHX/HOOD,MU/WBD,FIX/MAA,FSLR/MAA,STZ/MU,AME/QCOM,KIM/NCLH,HII/UDR,LHX/TPL,DVA/DGX,GOOG/MU,DDOG/PGR,GOOGL/MU,AME/CI,XOM/PHM,XOM/GWW,XOM/VLO,XOM/WM,XOM/XEL,CRWD/ERIE,RTX/TEL,LHX/PLTR
LHX/HOOD,1.0,0.4548697240205733,0.09481929627065372,-0.09209174967655166,0.47021866795971984,-0.036530500698226796,-0.09579266434727578,-0.34538429796226855,0.11675549325849757,0.017837867551249317,-0.4019940821763533,-0.39394301288439465,-0.401764778800425,0.19485306508039923,0.4702186679597198,0.06434034213571778,0.232114448186281,0.08339111305195354,0.4702186679597198,-0.12236310228648127,0.47021866795971984,0.6542018046178911
MU/WBD,0.4548697240205733,1.0,0.19356580648476468,-0.16348548119361306,0.9629662257797195,-0.14364417531539456,-0.18077547720088216,-0.6871515111480271,0.24429246392604553,0.04331391501337998,-0.8116262027919187,-0.7867010691991738,-0.8108737347457696,0.4085878443148572,0.9629662257797194,0.13975783892732674,0.48256774542791414,0.1815132232337781,0.9629662257797195,-0.24834368354757994,0.9629662257797192,0.5188953434687467
FIX/MAA,0.09481929627065372,0.19356580648476468,1.0,0.5693063719823992,0.20105701594198644,-0.030075475528136504,0.33349833892373126,-0.14357953348316463,0.7924651199525284,0.009006587277959052,-0.1695220517457204,-0.16436383874328142,-0.16936648295540044,0.3532761395624506,0.2010570159419864,0.592929946116638,0.10071571185747902,0.2897188426576494,0.20105701594198644,0.7361427400655214,0.20105701594198644,0.10828959256800254
FSLR/MAA,-0.09209174967655166,-0.16348548119361306,0.5693063719823992,1.0,-0.1716916678111587,0.015802244010659577,0.3617838314162314,0.10750644955357444,0.3980049442204414,-0.020903762391741416,0.14015662227421163,0.13240805307161457,0.13991166989084144,0.25588070209448943,-0.17169166781115866,0.5734174877028863,-0.08886619281679939,0.2454447108830915,-0.1716916678111587,0.45568700990315636,-0.1716916678111587,-0.09613046636547942
STZ/MU,0.47021866795971984,0.9629662257797195,0.20105701594198644,-0.1716916678111587,1.0,-0.15035029358451593,-0.1889045260950945,-0.7151189497425164,0.2532910503205544,0.04446130271386694,-0.8437278692523201,-0.8184889165118597,-0.8429680793140352,0.42357184378956786,1.0,0.14452172988949666,0.5005747735786855,0.187673476873508,1.0,-0.25806605603806204,0.9999999999999999,0.5381458567274003
AME/QCOM,-0.036530500698226796,-0.14364417531539456,-0.030075475528136504,0.015802244010659577,-0.15035029358451593,1.0,0.029246599077693787,0.10561809574683385,-0.039375691282338955,0.25154365722146743,0.1239572233832412,0.11805904587152868,0.12377246512946266,-0.0660640677719674,-0.15035029358451593,-0.023721997297952935,-0.07706105830185726,-0.030893256961628986,-0.15035029358451593,0.03824057536177079,-0.1503502935845159,0.05935984067176495
KIM/NCLH,-0.09579266434727578,-0.18077547720088216,0.33349833892373126,0.3617838314162314,-0.1889045260950945,0.029246599077693787,1.0,0.21130178481366194,0.4101189638772963,-0.0027595992189298744,0.1564989233409198,0.14963669352042044,0.15628517425252275,-0.08238435415434757,-0.18890452609509453,0.34341159059414683,-0.09635262139177182,-0.028477338860993514,-0.18890452609509456,0.5363766252368896,-0.18890452609509453,-0.10394894640022209
HII/UDR,-0.34538429796226855,-0.6871515111480271,-0.14357953348316463,0.10750644955357444,-0.7151189497425164,0.10561809574683385,0.21130178481366194,1.0,-0.18281950886016168,-0.09270340156094922,0.5995878700440118,0.5787963766151776,0.5989525776486152,-0.30600730644059626,-0.7151189497425164,-0.10594894777020161,-0.36031677675575713,-0.13769860715249388,-0.7151189497425167,0.18381812049008675,-0.7151189497425164,-0.38783796250821134
LHX/TPL,0.11675549325849757,0.24429246392604553,0.7924651199525284,0.3980049442204414,0.2532910503205544,-0.039375691282338955,0.4101189638772963,-0.18281950886016168,1.0,0.010694382092972896,-0.21468060735135291,-0.2089933650589971,-0.21451181454946028,0.10648868016771568,0.2532910503205544,0.6278780494230892,0.12618751978036716,0.3309483252611168,0.2532910503205544,0.7182689175812643,0.2532910503205544,0.13553585031026116
DVA/DGX,0.017837867551249317,0.04331391501337998,0.009006587277959052,-0.020903762391741416,0.04446130271386694,0.25154365722146743,-0.0027595992189298744,-0.09270340156094922,0.010694382092972896,1.0,-0.03878414005198496,-0.038584613502268855,-0.03878129172888616,0.01778868162771612,0.04446130271386693,0.0055514092106719965,0.021466915994650445,0.007170248511740992,0.04446130271386693,-0.011719461544640977,0.04446130271386693,-0.1945231079793859
