stock1,stock2,z_score,theta,volatility,edge,p_target,p_stop,signal,gain,loss,hedge_ratio,pvalue
KIM,NCLH,-2.661506553655145,0.1392683008377316,0.2667690363246996,1.4969926500520865,0.7341944385587766,0.26580556144122336,LONG_SPREAD,2.161506553655145,0.338493446344855,0.1838803009842953,0.005309135849647
KIM,KKR,-1.9462707609443395,0.09488674135619224,0.2534477012119167,1.336591284285639,0.9561282093365198,0.04387179066348024,LONG_SPREAD,1.4462707609443395,1.0537292390556605,0.0378930094954283,0.0451850937306549
KIM,LYV,-1.8256827927900197,0.09399480790805859,0.2699501949495275,1.2085865066892907,0.9531614855597084,0.046838514440291634,LONG_SPREAD,1.3256827927900197,1.1743172072099803,0.0361932363758861,0.0244979450297274
KIM,NTAP,-1.6953216126069341,0.0952407322701602,0.28443026848642783,1.0861269028761462,0.9563221161076848,0.043677883892315195,LONG_SPREAD,1.1953216126069341,1.3046783873930659,0.0382956242232282,0.0374705768343917
BEN,NDAQ,-1.9367493945115166,0.11663134032916381,0.3622375282406347,1.0843483498957107,0.8590395821536777,0.1409604178463223,LONG_SPREAD,1.4367493945115166,1.0632506054884834,0.2795064932304517,0.0141486249895004
F,UDR,1.6605013564734035,0.1469678207766615,0.34394600697560085,1.0757049068703797,0.9660814201587905,0.033918579841209495,SHORT_SPREAD,1.1605013564734035,1.3394986435265965,-0.3783245422265061,0.002087212841149
KIM,MAS,-1.5520969244204306,0.12349766309774064,0.23153502994163075,1.048954115526091,0.9987428764422642,0.0012571235577357731,LONG_SPREAD,1.0520969244204306,1.4479030755795694,0.1159899400571175,0.0074869153377034
KIM,META,-1.5721553513277755,0.09587628052606112,0.2764605184067665,1.0072206356248516,0.9740261137188305,0.025973886281169478,LONG_SPREAD,1.0721553513277755,1.4278446486722245,0.0066247076479373,0.0250319220787322
KIM,SNPS,-1.5939100330673732,0.09396675706066568,0.29367345026272007,0.9874649883830316,0.9574219821262634,0.04257801787373661,LONG_SPREAD,1.0939100330673732,1.4060899669326268,0.0062459041055315,0.0348167961795033
AES,LNT,1.8069801762008482,0.122730758711713,0.39221598793950657,0.9745463826659494,0.8670264825860405,0.13297351741395946,SHORT_SPREAD,1.3069801762008482,1.1930198237991518,0.4079482884656528,0.0087537643943944
