symbol,action,side,qty,reason,current_value,pair,edge,priority,target_price
F,OPEN,sell,30,Open new short position,0,F/MMC,1.6127643489208627,2,6.8
MMC,OPEN,buy,36,Open new long position,0,F/MMC,1.6127643489208627,2,87.855
BAC,OPEN,buy,4,Open new long position,0,BAC/MS,0.8646148675402683,2,55.845
MS,OPEN,sell,11,Open new short position,0,BAC/MS,0.8646148675402683,2,87.875
AES,OPEN,sell,30,Open new short position,0,AES/LNT,0.8585776410369078,2,14.565
LNT,OPEN,buy,35,Open new long position,0,AES/LNT,0.8585776410369078,2,27.42
PFE,OPEN,buy,9,Open new long position,0,PFE/SLB,0.6713740765276601,2,25.465
SLB,OPEN,sell,22,Open new short position,0,PFE/SLB,0.6713740765276601,2,44.68
CTRA,OPEN,buy,6,Open new long position,0,CTRA/UPS,0.648223780266346,2,25.05
UPS,OPEN,sell,12,Open new short position,0,CTRA/UPS,0.648223780266346,2,107.92
NI,OPEN,buy,2,Open new long position,0,NI/RTX,0.5946214778083954,2,42.085
RTX,OPEN,sell,6,Open new short position,0,NI/RTX,0.5946214778083954,2,187.515
O,OPEN,sell,5,Open new short position,0,O/SO,0.5791737914013657,2,58.185
SO,OPEN,buy,10,Open new long position,0,O/SO,0.5791737914013657,2,87.63
GEN,OPEN,buy,3,Open new long position,0,GEN/TXN,0.562730010600887,2,25.49
TXN,OPEN,sell,5,Open new short position,0,GEN/TXN,0.562730010600887,2,188.935
T,OPEN,buy,9,Open new long position,0,T/MOS,0.4304511449569589,2,24.18
MOS,OPEN,sell,34,Open new short position,0,T/MOS,0.4304511449569589,2,25.95
HST,OPEN,sell,11,Open new short position,0,HST/QCOM,0.4006853011657172,2,8.785
QCOM,OPEN,buy,6,Open new long position,0,HST/QCOM,0.4006853011657172,2,178.46499999999995
HAL,OPEN,sell,5,Open new short position,0,HAL/SNA,0.2676210710226337,2,32.3
SNA,OPEN,buy,5,Open new long position,0,HAL/SNA,0.2676210710226337,2,181.25
CCL,OPEN,sell,12,Open new short position,0,CCL/TRMB,0.2595532505438354,2,31.68
TRMB,OPEN,buy,17,Open new long position,0,CCL/TRMB,0.2595532505438354,2,40.295
EQR,OPEN,buy,13,Open new long position,0,EQR/MKC,0.2123707658779791,2,30.22
MKC,OPEN,sell,9,Open new short position,0,EQR/MKC,0.2123707658779791,2,67.9
HPE,OPEN,buy,10,Open new long position,0,HPE/RJF,0.1831478848061786,2,22.1
