stock1,stock2,entry_date,entry_z,signal,capital,exit_date,exit_z,exit_reason,win,z_score,entry_price1,entry_price2,capital_allocation,edge
GPN,OMC,2026-01-03 21:35:04,-3.3984871119149496,BUY,3147.0000000000005,2026-01-03 21:35:46,-3.3984871119149496,MANUAL LIQUIDATION,,,,,,
FOX,MDT,2026-01-03 21:35:04,3.0897581941224126,SELL,3116.195,2026-01-03 21:35:46,3.0897581941224126,MANUAL LIQUIDATION,,,,,,
LHX,HOOD,2026-01-03 21:35:04,2.986623151728761,SELL,2486.36,2026-01-03 21:35:47,2.986623151728761,MANUAL LIQUIDATION,,,,,,
MU,WBD,2026-01-03 21:35:04,2.905435537450271,SELL,3051.25,2026-01-03 21:35:47,2.905435537450271,MANUAL LIQUIDATION,,,,,,
FSLR,MAA,2026-01-03 21:35:04,2.724938464698518,SELL,2957.89,2026-01-03 21:35:47,2.724938464698518,MANUAL LIQUIDATION,,,,,,
AME,QCOM,2026-01-03 21:35:05,2.6659062240171862,SELL,2632.51,2026-01-03 21:35:48,2.6659062240171862,MANUAL LIQUIDATION,,,,,,
KIM,NCLH,2026-01-03 21:35:05,-2.661506553655145,BUY,2686.295,2026-01-03 21:35:48,-2.661506553655145,MANUAL LIQUIDATION,,,,,,
HII,UDR,2026-01-03 21:35:05,2.660353464992695,SELL,2619.71,2026-01-03 21:35:49,2.660353464992695,MANUAL LIQUIDATION,,,,,,
DVA,DGX,2026-01-03 21:35:06,-2.639922286785701,BUY,2415.87,2026-01-03 21:35:49,-2.639922286785701,MANUAL LIQUIDATION,,,,,,
GOOG,MU,2026-01-03 21:35:06,-2.638189044072959,BUY,2261.55,2026-01-03 21:35:50,-2.638189044072959,MANUAL LIQUIDATION,,,,,,
DDOG,PGR,2026-01-03 21:35:06,-2.62977107989014,BUY,2382.12,2026-01-03 21:35:50,-2.62977107989014,MANUAL LIQUIDATION,,,,,,
GOOGL,MU,2026-01-03 21:35:06,-2.616166626241568,BUY,2015.69,2026-01-03 21:35:51,-2.616166626241568,MANUAL LIQUIDATION,,,,,,
AME,CI,2026-01-03 21:35:06,2.5845805380447087,SELL,2291.9700000000003,2026-01-03 21:35:51,2.5845805380447087,MANUAL LIQUIDATION,,,,,,
XOM,PHM,2026-01-03 21:35:07,2.5774491780831976,SELL,1494.0299999999995,2026-01-03 21:35:51,2.5774491780831976,MANUAL LIQUIDATION,,,,,,
XOM,VLO,2026-01-03 21:35:07,2.568854627195306,SELL,1565.3199999999997,2026-01-03 21:35:52,2.568854627195306,MANUAL LIQUIDATION,,,,,,
XOM,WM,2026-01-03 21:35:07,2.5639819065064566,SELL,1786.04,2026-01-03 21:35:52,2.5639819065064566,MANUAL LIQUIDATION,,,,,,
XOM,XEL,2026-01-03 21:35:07,2.554249159306804,SELL,1807.3,2026-01-03 21:35:53,2.554249159306804,MANUAL LIQUIDATION,,,,,,
CRWD,ERIE,2026-01-03 21:35:08,-2.543302390884564,BUY,2067.125,2026-01-03 21:35:53,-2.543302390884564,MANUAL LIQUIDATION,,,,,,
RTX,TEL,2026-01-03 21:35:08,2.518933839578512,SELL,1773.0,2026-01-03 21:35:54,2.518933839578512,MANUAL LIQUIDATION,,,,,,
XOM,MDT,2026-01-03 21:35:08,2.494583312239024,SELL,1672.585,2026-01-03 21:35:54,2.494583312239024,MANUAL LIQUIDATION,,,,,,
TPR,WYNN,2026-01-03 21:35:08,2.492911553625904,SELL,1770.025,2026-01-03 21:35:54,2.492911553625904,MANUAL LIQUIDATION,,,,,,
LUV,STE,2026-01-03 21:35:08,2.4812085677106004,SELL,1666.64,2026-01-03 21:35:55,2.4812085677106004,MANUAL LIQUIDATION,,,,,,
BLK,PTC,2026-01-03 21:35:09,2.4528925003279785,SELL,1224.72,2026-01-03 21:35:55,2.4528925003279785,MANUAL LIQUIDATION,,,,,,
BK,D,2026-01-03 21:35:09,2.42061452072589,SELL,1342.575,2026-01-03 21:35:56,2.42061452072589,MANUAL LIQUIDATION,,,,,,
XOM,IFF,2026-01-03 21:35:09,2.418537827993452,SELL,1211.88,2026-01-03 21:35:56,2.418537827993452,MANUAL LIQUIDATION,,,,,,
XOM,PPG,2026-01-03 21:35:10,2.3892279917739163,SELL,644.405,2026-01-03 21:35:57,2.3892279917739163,MANUAL LIQUIDATION,,,,,,
XOM,TAP,2026-01-03 21:35:10,2.345441193828536,SELL,817.14,2026-01-03 21:35:57,2.345441193828536,MANUAL LIQUIDATION,,,,,,
CB,PEG,2026-01-03 21:35:10,2.344610460662613,SELL,862.8399999999999,2026-01-03 21:35:58,2.344610460662613,MANUAL LIQUIDATION,,,,,,
XOM,SW,2026-01-03 21:35:11,2.311267409230977,SELL,518.98,2026-01-03 21:35:58,2.311267409230977,MANUAL LIQUIDATION,,,,,,
NEM,UDR,2026-01-03 21:35:11,2.308530420256655,SELL,588.7750000000001,2026-01-03 21:35:58,2.308530420256655,MANUAL LIQUIDATION,,,,,,
ANET,J,2026-01-03 21:35:11,2.30535338808874,SELL,605.0699999999999,2026-01-03 21:35:59,2.30535338808874,MANUAL LIQUIDATION,,,,,,
XOM,QCOM,2026-01-03 21:35:12,2.3049642627230487,SELL,534.405,2026-01-03 21:35:59,2.3049642627230487,MANUAL LIQUIDATION,,,,,,
XOM,KVUE,2026-01-03 21:35:12,2.270848146196572,SELL,243.67999999999995,2026-01-03 21:36:00,2.270848146196572,MANUAL LIQUIDATION,,,,,,
XOM,UDR,2026-01-03 21:35:12,2.2697205849855018,SELL,278.595,2026-01-03 21:36:00,2.2697205849855018,MANUAL LIQUIDATION,,,,,,
LHX,HOOD,2026-01-04 20:18:52,2.986623151728761,SELL,14729.17,2026-01-04 20:21:43,2.986623151728761,MANUAL LIQUIDATION,,,,,,
FIX,MAA,2026-01-04 20:18:52,2.7829993712173136,SELL,11088.23,2026-01-04 20:21:43,2.7829993712173136,MANUAL LIQUIDATION,,,,,,
