,TPL/ULTA,TPL/TKO,GPN/OMC,FOX/MDT,LHX/HOOD,MU/WBD,FIX/MAA,FSLR/MAA,STZ/MU,AME/QCOM,KIM/NCLH,HII/UDR,LHX/TPL,DVA/DGX,GOOG/MU,DDOG/PGR,GOOGL/MU,AME/CI,XOM/PHM,XOM/GWW,XOM/VLO,XOM/WM,XOM/XEL,CRWD/ERIE,RTX/TEL,LHX/PLTR
TPL/ULTA,1.0,0.794669874076842,-0.14122584916498732,0.11126340661624043,-0.1363530807514106,0.1325469058674415,0.15132531036498834,0.22899717288746957,0.06788833875240058,-0.1806916460395246,0.297364055431667,-0.10096437063357108,0.7438733180400232,0.27104059412964754,-0.10082540235786505,0.4969625768223665,-0.09749148825335258,0.2185051985998882,0.024924992176101987,0.18696390451373887,-0.11175697692176366,0.008361606363057784,0.029260775088508707,0.2717126663148263,-0.2722302806452718,-0.0688720756036381
TPL/TKO,0.794669874076842,1.0,-0.2317364908512273,0.11930755178039334,-0.2373252440133194,0.074976814762795,0.23444605256087586,0.23163922871451725,-0.09923608221835105,-0.1724236553631062,0.3513377285046451,-0.12675512630020588,0.6194522920325352,0.38478526133557844,0.03789063989969324,0.23955749114502028,0.037581314968820785,0.38073784867837424,-0.09233159048597196,0.12206642231955478,-0.1766266659523842,-0.08206735855779135,0.025243009634878008,0.034902938309142456,-0.338022457003741,-0.2058560781548309
GPN/OMC,-0.14122584916498732,-0.2317364908512273,1.0,-0.2049453496791957,-0.35412389984208825,0.0338054183683401,-0.21131723438865738,-0.23300321564663307,-0.2399898359479915,-0.05401601738834898,-0.17182283714725596,-0.16097336321652075,-0.08412458303708782,-0.03135015319803178,-0.009583710309484081,0.10484179281031711,-0.0052159159104447125,-0.3365545098736415,-0.03821263292140179,-0.09811294870898668,-0.16342230384283052,-0.04696483570069088,0.01090214680246367,0.2977280633304282,-0.05458891308917231,-0.08840269439946417
FOX/MDT,0.11126340661624043,0.11930755178039334,-0.2049453496791957,1.0,0.27429899704438215,0.19253173708165724,0.1877134479111229,0.2593738842146575,0.21235173548286237,0.2740410734548498,0.052093270056571966,0.17008798354538412,-0.012928379723304186,-0.169624033811242,-0.21130384799219348,0.05459958353478496,-0.2078143002445252,0.2766596565434138,0.13460106816965114,0.22045834414032273,0.08868027147260056,0.004044411507048886,0.18529289985725053,0.025667002291993413,0.22097090930665592,-0.09368868249835152
LHX/HOOD,-0.1363530807514106,-0.2373252440133194,-0.35412389984208825,0.27429899704438215,1.0,-0.11463365814331801,0.011740950372402545,-0.05308876802206087,-0.03532101635857422,0.37018809856891965,0.014469981040732386,0.2746964616465502,-0.05899458227150911,-0.03294489481170495,0.06107590588575246,-0.08725013688825779,0.06388999565738196,0.031892850248226856,-0.046780958603737224,0.025444439091849583,0.19433035254540695,0.21278609220195102,0.04635486814564387,-0.2394269156309112,0.2706910345591384,0.3996247900860671
MU/WBD,0.1325469058674415,0.074976814762795,0.0338054183683401,0.19253173708165724,-0.11463365814331801,1.0,-0.19660642781875887,-0.005268312868967103,0.15470950403567602,0.0858209782071037,0.34938533258224747,-0.14345158079849185,0.1376619917535427,0.1483373628010281,-0.6531643948431621,0.41846906571767534,-0.6444353761570445,0.26211605898739243,0.014893353531719104,-0.03683809725044046,-0.22539627404456805,-0.18268124668849978,-0.1443510754010983,0.43743835049500773,-0.09627095904380367,-0.08636504447732421
FIX/MAA,0.15132531036498834,0.23444605256087586,-0.21131723438865738,0.1877134479111229,0.011740950372402545,-0.19660642781875887,1.0,0.7661038546310021,0.31466933238357997,0.1832774280728486,0.21094119674981981,0.6035666457514354,-0.02829716334688275,0.06904787026536004,0.2996944198630965,0.07066415727068734,0.2981537207424208,0.506931468578877,0.19675622762228825,0.47305316559721877,0.2838330306020108,0.41444266076658925,0.4077220083648511,-0.19798915548545756,0.004666852369648952,-0.10743111768861884
FSLR/MAA,0.22899717288746957,0.23163922871451725,-0.23300321564663307,0.2593738842146575,-0.05308876802206087,-0.005268312868967103,0.7661038546310021,1.0,0.3861244696997506,0.21597248537778918,0.16981730932825517,0.47487614253031996,0.048463383831347885,0.07395497197728866,0.12008187741961927,0.3066404339421253,0.11761425889358228,0.528405752489594,0.3622365676004266,0.5540996562827964,0.2780451604389085,0.39611755951690625,0.4296348613456308,-0.09323842131690409,0.011717638456841928,-0.06204639831159978
STZ/MU,0.06788833875240058,-0.09923608221835105,-0.2399898359479915,0.21235173548286237,-0.03532101635857422,0.15470950403567602,0.31466933238357997,0.3861244696997506,1.0,0.2034909485065444,-0.17447925511320808,0.47273831139455624,-0.22351772716868964,-0.3352492425204577,-0.2785179531366568,0.10563741774842225,-0.28054701593156967,0.21512081957212725,0.2660826573468426,0.25093815620791293,0.3255540724517609,0.19221167600690142,0.15275831142786686,0.08875159062353288,0.22348406976863214,-0.3705806916778924
AME/QCOM,-0.1806916460395246,-0.1724236553631062,-0.05401601738834898,0.2740410734548498,0.37018809856891965,0.0858209782071037,0.1832774280728486,0.21597248537778918,0.2034909485065444,1.0,-0.18981920771086344,0.36261896206237504,-0.3139412695847056,-0.13672318589330154,0.20571586114650517,-0.06407350153602047,0.21092303668078713,0.15461790608805379,-0.21739522969744646,-0.059253187491864194,-0.013488306303182882,0.008132680126083236,0.009159064281379388,-0.3401296620878247,0.011298852533855118,-0.1488041252633354
